Function name	Segment	Start	Length	Locals	Arguments	R	F	L	S	B	T	=
VOP_ISLOCKED_AP	LOAD	FFFFFFFF8229CC90	00000013			R	.	.	.	.	.	.
VOP_ISLOCKED_APV	LOAD	FFFFFFFF8229CCB0	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_LOOKUP_AP	LOAD	FFFFFFFF8229CD40	00000013			R	.	.	.	.	.	.
VOP_LOOKUP_APV	LOAD	FFFFFFFF8229CD60	0000009E	00000018	00000000	R	.	.	.	B	.	.
VOP_CACHEDLOOKUP_AP	LOAD	FFFFFFFF8229CE00	00000013			R	.	.	.	.	.	.
VOP_CACHEDLOOKUP_APV	LOAD	FFFFFFFF8229CE20	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_CREATE_AP	LOAD	FFFFFFFF8229CEB0	00000013			R	.	.	.	.	.	.
VOP_CREATE_APV	LOAD	FFFFFFFF8229CED0	00000096	00000018	00000000	R	.	.	.	B	.	.
VOP_WHITEOUT_AP	LOAD	FFFFFFFF8229CF70	00000013			R	.	.	.	.	.	.
VOP_WHITEOUT_APV	LOAD	FFFFFFFF8229CF90	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_MKNOD_AP	LOAD	FFFFFFFF8229D020	00000013			R	.	.	.	.	.	.
VOP_MKNOD_APV	LOAD	FFFFFFFF8229D040	00000096	00000018	00000000	R	.	.	.	B	.	.
VOP_OPEN_AP	LOAD	FFFFFFFF8229D0E0	00000013			R	.	.	.	.	.	.
VOP_OPEN_APV	LOAD	FFFFFFFF8229D100	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_CLOSE_AP	LOAD	FFFFFFFF8229D190	00000013			R	.	.	.	.	.	.
VOP_CLOSE_APV	LOAD	FFFFFFFF8229D1B0	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_ACCESS_AP	LOAD	FFFFFFFF8229D240	00000013			R	.	.	.	.	.	.
VOP_ACCESS_APV	LOAD	FFFFFFFF8229D260	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_ACCESSX_AP	LOAD	FFFFFFFF8229D2F0	00000013			R	.	.	.	.	.	.
VOP_ACCESSX_APV	LOAD	FFFFFFFF8229D310	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_GETATTR_AP	LOAD	FFFFFFFF8229D3A0	00000013			R	.	.	.	.	.	.
VOP_GETATTR_APV	LOAD	FFFFFFFF8229D3C0	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_SETATTR_AP	LOAD	FFFFFFFF8229D450	00000013			R	.	.	.	.	.	.
VOP_SETATTR_APV	LOAD	FFFFFFFF8229D470	00000096	00000018	00000000	R	.	.	.	B	.	.
VOP_MARKATIME_AP	LOAD	FFFFFFFF8229D510	00000013			R	.	.	.	.	.	.
VOP_MARKATIME_APV	LOAD	FFFFFFFF8229D530	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_READ_AP	LOAD	FFFFFFFF8229D5C0	00000013			R	.	.	.	.	.	.
VOP_READ_APV	LOAD	FFFFFFFF8229D5E0	0000008C	00000018	00000000	R	.	.	.	B	.	.
VOP_WRITE_AP	LOAD	FFFFFFFF8229D670	00000013			R	.	.	.	.	.	.
VOP_WRITE_APV	LOAD	FFFFFFFF8229D690	000001A3	00000108	00000000	R	.	.	.	B	.	.
VOP_IOCTL_AP	LOAD	FFFFFFFF8229D840	00000013			R	.	.	.	.	.	.
VOP_IOCTL_APV	LOAD	FFFFFFFF8229D860	00000092	00000018	00000000	R	.	.	.	B	.	.
